Code,Name,PhysicalAddress,PhysicalAddress1,PhysicalCountry,PhysicalState,PhysicalCity,PhysicalZipCode,MailingAddress,MailingAddress1,MailingCountry,MailingState,MailingZipCode,Phone,Fax,Action
5,Knoxville,2800 Solway Rd,,United States,Texas,Knoxville,37931,,,United States,NULL,,(865) 413-1021,(865) 413-1029,Add
5h,demo one test,stree 56,,United States,Illinois,CY,9512,,,United States,NULL,,4.35E+11,PO 45654,update
11,dfdfdgdgdg,dsgsgsdgsdgdfg,,United States,Kentucky,dsgfdsgdgfdgdg,68696987987,dsgsgsdgsdgdfg,,United States,Kentucky,dsgfdsgdgfdgdg,dfgsfgsdgdgdgdgdgg,,enable
91,Greenville one,777 Lowndes Hill Road,"Building 3, Suite 301",United States,South Carolina,Greenville,29607,,,United States,NULL,,(864) 467-0811,(864) 467-9758,Disable
7,"White Sands, US DOD WSMR Site",9C Contractor Row,,United States,New Mexico,White Sands Missile Range,88002,PO Box 10,,United States,New Mexico,White Sands Missile Range,(575) 647-4221,,Delete
0,new one,asdf,,United States,NULL,dasf,asfd,,,United States,NULL,,adsf,,Add
56,demo test one,Stree 45 new road,,United States,Kansas,los,952,,,United States,NULL,,9.85E+11,,Add
2,Anchorage,2525 C. Street Suite 130,123,United States,Illinois,Anchorage,99503,2525 C. Street Suite 130,123,United States,Illinois,Anchorage,(907) 290-8222,1.23E+11,Add
98,roajna,new,,United States,New Mexico,ffd,65,,,United States,NULL,,8674565,,Add
9,sdfdsf,sdfsdf,,United States,Illinois,sfdsfdfgdf,546564,,,United States,NULL,,345345,,delete
1,demon,abc,,United States,Illinois,by,3434,,,United States,NULL,,98566646464,Ph 50,enable
66,Idaho Falls,425 Higham St,,United States,Alabama,Idaho Falls,83402,,,United States,NULL,,(208) 528-8714,,disable
64,testing one,new street 52,,United States,Georgia,Boston,987,,,United States,NULL,,50-989-5955656565,,Add
45,Denver,"9155 E. Nichols Ave, Suite 125",,United States,Colorado,Centennial,80112,,,United States,NULL,,(303) 741-4488,,Update
95,demo try,street 56,,United States,California,BY,9654,,,United States,NULL,,-949637,,Add
67,test demo four,xyz 35,,United States,Hawaii,Ny,9854,,,United States,NULL,,985656565,,Add
10,Pinedale,5 East Magnolia,,United States,Wyoming,Pinedale,82941,PO Box 2345,,United States,Wyoming,Pinedale,(307) 367-8100,,Add
6,Richland,"507 Knight St, Suite A",,United States,West Virginia,Richland,99352,,,United States,NULL,,(509) 943-7900,(509) 943-7901,Add
